City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bethel,41.37,-73.41,69.8,83.0,20.0,3.36,US,1594778082.0
orcopampa,-15.27,-72.34,46.89,48.0,43.0,3.09,PE,1594778800.0
kruisfontein,-34.0,24.73,41.29,81.0,0.0,7.29,ZA,1594778384.0
hachinohe,40.5,141.5,62.6,93.0,75.0,13.87,JP,1594778801.0
sabirabad,40.01,48.48,71.6,83.0,75.0,4.7,AZ,1594778801.0
santa isabel do rio negro,-0.41,-65.02,73.44,91.0,0.0,1.01,BR,1594778801.0
swellendam,-34.02,20.44,44.6,81.0,0.0,5.82,ZA,1594778801.0
sicuani,-14.27,-71.23,47.52,52.0,2.0,3.69,PE,1594778801.0
arraial do cabo,-22.97,-42.03,71.6,78.0,75.0,9.17,BR,1594778150.0
suntar,62.14,117.63,82.18,52.0,23.0,1.74,RU,1594778801.0
weligama,5.97,80.42,81.36,85.0,68.0,9.31,LK,1594778801.0
ljungby,56.83,13.94,59.0,87.0,100.0,6.93,SE,1594778801.0
shelburne,44.08,-80.2,69.8,77.0,1.0,3.51,CA,1594778253.0
fairbanks,64.84,-147.72,71.6,40.0,40.0,5.32,US,1594778230.0
cacu,-18.56,-51.13,72.73,48.0,6.0,2.91,BR,1594778802.0
valdosta,30.83,-83.28,82.4,74.0,1.0,3.36,US,1594778802.0
qui nhon,13.77,109.23,83.46,73.0,44.0,7.74,VN,1594778802.0
bekovo,52.47,43.71,62.94,94.0,100.0,8.97,RU,1594778802.0
ust-tarka,55.57,75.7,64.51,78.0,0.0,6.04,RU,1594778802.0
luena,-11.78,19.92,49.19,47.0,0.0,6.15,AO,1594778445.0
geraldton,-28.77,114.6,59.0,82.0,90.0,14.99,AU,1594778445.0
manado,1.49,124.85,87.8,62.0,20.0,2.24,ID,1594778792.0
bay roberts,47.6,-53.26,52.0,1.0,100.0,13.04,CA,1594778445.0
axim,4.87,-2.24,73.85,85.0,29.0,9.31,GH,1594778803.0
salalah,17.02,54.09,80.6,94.0,90.0,5.82,OM,1594778391.0
banda aceh,5.56,95.32,83.08,72.0,100.0,2.51,ID,1594778803.0
chernyshevskiy,63.01,112.47,72.99,54.0,100.0,4.21,RU,1594778803.0
wanning,18.8,110.4,88.0,67.0,5.0,10.13,CN,1594778352.0
nome,64.5,-165.41,51.8,87.0,90.0,9.17,US,1594778803.0
richards bay,-28.78,32.04,55.53,50.0,1.0,15.86,ZA,1594778423.0
teguldet,57.31,88.17,60.06,57.0,0.0,7.52,RU,1594778409.0
ilulissat,69.22,-51.1,44.6,81.0,1.0,5.82,GL,1594778342.0
gohpur,26.88,93.63,80.19,82.0,99.0,1.23,IN,1594778804.0
buckeye,33.37,-112.58,109.4,19.0,1.0,8.05,US,1594778804.0
sudak,44.85,34.97,64.49,57.0,0.0,4.94,UA,1594778804.0
soma,39.19,27.61,68.0,72.0,7.0,6.93,TR,1594778804.0
porecatu,-22.76,-51.38,71.6,64.0,0.0,5.82,BR,1594778804.0
moree,-29.47,149.85,53.6,71.0,0.0,6.93,AU,1594778804.0
namibe,-15.2,12.15,61.29,85.0,0.0,1.77,AO,1594778449.0
igarka,67.47,86.58,49.89,79.0,100.0,12.44,RU,1594778805.0
ponta do sol,32.67,-17.1,73.0,40.0,0.0,5.86,PT,1594778382.0
taunggyi,20.78,97.03,68.92,93.0,67.0,3.42,MM,1594778805.0
adrar,20.5,-10.07,94.32,21.0,27.0,6.04,MR,1594778805.0
clarksdale,34.2,-90.57,84.2,83.0,98.0,3.91,US,1594778605.0
bouna,9.27,-3.0,71.31,89.0,100.0,6.53,CI,1594778805.0
high level,58.52,-117.14,73.4,27.0,20.0,16.11,CA,1594778805.0
bani walid,31.76,13.99,68.16,87.0,0.0,2.46,LY,1594778805.0
moron,-34.65,-58.62,46.99,59.0,0.0,3.2,AR,1594778428.0
fort nelson,58.81,-122.7,75.2,29.0,75.0,4.7,CA,1594778806.0
damavand,35.72,52.06,75.2,50.0,75.0,6.93,IR,1594778806.0
isangel,-19.55,169.27,78.8,78.0,75.0,4.7,VU,1594778450.0
bloemhof,-27.65,25.61,28.72,89.0,0.0,9.19,ZA,1594778806.0
innisfail,-17.53,146.03,69.53,60.0,89.0,8.16,AU,1594778806.0
sao joao del rei,-21.14,-44.26,58.75,95.0,8.0,4.9,BR,1594778806.0
sakaiminato,35.55,133.23,69.8,88.0,75.0,5.82,JP,1594778450.0
totness,5.88,-56.32,77.67,85.0,5.0,6.04,SR,1594778806.0
kismayo,-0.36,42.55,77.09,77.0,76.0,15.97,SO,1594778806.0
garwolin,51.9,21.61,59.0,97.0,0.0,3.74,PL,1594778807.0
saldanha,-33.01,17.94,41.0,86.0,0.0,1.12,ZA,1594778337.0
hualmay,-11.1,-77.61,61.12,85.0,48.0,7.92,PE,1594778807.0
ankazoabo,-22.28,44.52,57.85,83.0,0.0,7.14,MG,1594778807.0
diffa,13.32,12.61,81.3,60.0,100.0,14.43,NE,1594778807.0
flin flon,54.77,-101.86,60.1,79.0,11.0,7.65,CA,1594778807.0
tateyama,34.98,139.87,78.8,78.0,75.0,10.29,JP,1594778807.0
skjervoy,70.03,20.97,54.34,70.0,0.0,13.56,NO,1594778808.0
oakdale,44.96,-92.96,71.6,64.0,1.0,5.82,US,1594778808.0
yar-sale,66.83,70.83,53.78,81.0,100.0,6.67,RU,1594778808.0
roseburg,43.22,-123.34,87.8,14.0,1.0,17.22,US,1594778808.0
kitwe,-12.8,28.25,51.31,51.0,0.0,3.67,ZM,1594778808.0
banepa,27.63,85.52,71.6,94.0,75.0,1.1,NP,1594778808.0
karad,17.28,74.2,70.95,93.0,100.0,10.22,IN,1594778808.0
roald,62.58,6.13,52.0,93.0,0.0,2.24,NO,1594778437.0
palembang,-2.92,104.75,78.8,88.0,75.0,3.36,ID,1594778808.0
ylivieska,64.08,24.55,54.0,96.0,23.0,2.51,FI,1594778809.0
mandalgovi,45.76,106.27,80.53,18.0,51.0,12.93,MN,1594778442.0
paragominas,-2.97,-47.48,72.63,85.0,2.0,3.24,BR,1594778809.0
yarada,17.65,83.27,78.8,94.0,75.0,4.7,IN,1594778809.0
rocha,-34.48,-54.33,36.03,80.0,0.0,6.53,UY,1594778397.0
araouane,18.9,-3.53,89.4,37.0,85.0,12.57,ML,1594778809.0
gizo,-8.1,156.84,83.53,69.0,5.0,1.63,SB,1594778809.0
ucluelet,48.93,-125.55,62.6,77.0,20.0,17.22,CA,1594778737.0
camacha,33.08,-16.33,68.0,82.0,40.0,21.92,PT,1594778435.0
manokwari,-0.87,134.08,83.26,70.0,4.0,5.14,ID,1594778809.0
nemuro,43.32,145.57,55.4,87.0,75.0,8.05,JP,1594778391.0
berlevag,70.86,29.09,46.54,78.0,100.0,6.17,NO,1594778810.0
hofn,64.25,-15.21,51.22,89.0,100.0,6.89,IS,1594778810.0
leland,34.26,-78.04,81.0,74.0,1.0,3.8,US,1594778658.0
palmer,42.16,-72.33,68.0,82.0,40.0,4.7,US,1594778156.0
katubao,5.89,124.83,85.86,61.0,11.0,3.47,PH,1594778810.0
chernaya kholunitsa,58.85,51.72,72.63,93.0,92.0,4.81,RU,1594778810.0
norman wells,65.28,-126.83,75.2,36.0,40.0,10.29,CA,1594778398.0
ales,44.13,4.08,77.0,43.0,66.0,8.05,FR,1594778810.0
riyadh,24.69,46.72,93.2,18.0,0.0,4.7,SA,1594778395.0
brae,60.4,-1.35,50.0,93.0,68.0,5.82,GB,1594778415.0
soto la marina,23.77,-98.22,84.0,82.0,10.0,10.0,MX,1594778811.0
cidreira,-30.18,-50.21,44.89,70.0,0.0,10.0,BR,1594778448.0
byron bay,-28.65,153.62,66.99,45.0,0.0,17.22,AU,1594778811.0
okhotsk,59.38,143.3,68.79,66.0,22.0,5.73,RU,1594778811.0
lazaro cardenas,17.96,-102.2,81.66,81.0,46.0,7.2,MX,1594778421.0
arivonimamo,-19.02,47.18,46.4,93.0,20.0,2.24,MG,1594778811.0
lagunas,-5.23,-75.68,73.63,91.0,86.0,0.94,PE,1594778811.0
bambanglipuro,-7.95,110.28,82.42,71.0,98.0,7.54,ID,1594778812.0
karasburg,-28.02,18.75,37.42,74.0,0.0,12.06,NA,1594778812.0
poltavka,54.37,71.76,68.22,72.0,0.0,5.86,RU,1594778812.0
kudahuvadhoo,2.67,72.89,83.7,73.0,100.0,6.35,MV,1594778418.0
imuris,30.78,-110.87,98.01,30.0,27.0,5.99,MX,1594778812.0
tazovskiy,67.47,78.7,47.07,71.0,90.0,13.18,RU,1594778812.0
gonbad-e qabus,37.25,55.17,73.4,83.0,5.0,2.24,IR,1594778813.0
attur,11.6,78.62,80.6,74.0,40.0,4.32,IN,1594778813.0
hit,33.64,42.83,85.75,21.0,0.0,7.76,IQ,1594778813.0
labuhan,-6.88,112.21,80.89,76.0,7.0,5.86,ID,1594778813.0
monroe,43.15,-77.68,75.2,50.0,75.0,3.36,US,1594778601.0
burnie,-41.07,145.92,55.0,51.0,100.0,4.0,AU,1594778813.0
bathsheba,13.22,-59.52,82.4,74.0,20.0,12.75,BB,1594778813.0
lisakovsk,52.54,62.49,74.19,63.0,0.0,7.18,KZ,1594778813.0
alta floresta,-9.88,-56.09,71.94,44.0,10.0,2.89,BR,1594778813.0
krasnoselkup,65.7,82.47,54.57,62.0,40.0,13.04,RU,1594778436.0
nuevo ideal,24.89,-105.07,76.19,26.0,3.0,8.84,MX,1594778814.0
ust-omchug,61.15,149.63,73.99,42.0,56.0,10.02,RU,1594778814.0
nata,8.33,-80.52,77.99,86.0,75.0,1.92,PA,1594778814.0
dickinson,29.46,-95.05,84.99,70.0,1.0,8.05,US,1594778747.0
rio grande,-32.03,-52.1,35.01,88.0,0.0,10.83,BR,1594778814.0
prince rupert,54.32,-130.32,55.4,93.0,90.0,9.17,CA,1594778382.0
imbituba,-28.24,-48.67,55.4,66.0,75.0,3.36,BR,1594778415.0
beringovskiy,63.05,179.32,51.3,89.0,85.0,6.8,RU,1594778393.0
la mana,-0.93,-79.22,46.99,93.0,9.0,2.33,EC,1594778815.0
olafsvik,64.89,-23.71,51.44,87.0,100.0,3.91,IS,1594778362.0
san rafael,-34.62,-68.33,48.72,48.0,0.0,3.74,AR,1594778815.0
den helder,52.96,4.76,59.0,82.0,40.0,5.82,NL,1594778815.0
goksun,38.02,36.5,71.6,78.0,0.0,6.93,TR,1594778815.0
vytegra,61.01,36.45,53.11,73.0,100.0,6.44,RU,1594778815.0
troitskoye,52.98,84.68,67.69,84.0,0.0,8.14,RU,1594778815.0
komsomolskiy,40.43,71.72,77.0,41.0,0.0,4.7,UZ,1594778427.0
jiuquan,39.74,98.52,76.71,23.0,60.0,7.47,CN,1594778816.0
ambon,-3.7,128.18,82.99,88.0,75.0,3.36,ID,1594778816.0
nizwa,22.93,57.53,85.93,45.0,0.0,1.77,OM,1594778170.0
straseni,47.14,28.61,51.8,81.0,0.0,3.36,MD,1594778816.0
itaqui,-29.13,-56.55,40.19,70.0,0.0,6.06,BR,1594778816.0
carbonia,39.17,8.52,73.99,68.0,8.0,1.12,IT,1594778816.0
puerto escondido,15.85,-97.07,81.7,74.0,98.0,1.99,MX,1594778816.0
saurimo,-9.66,20.39,58.42,35.0,0.0,6.91,AO,1594778816.0
yelizavetino,59.49,29.79,50.0,87.0,100.0,4.47,RU,1594778817.0
hay river,60.82,-115.8,59.0,82.0,75.0,10.29,CA,1594778817.0
luderitz,-26.65,15.16,53.6,58.0,0.0,5.82,NA,1594778379.0
tianpeng,30.99,103.94,78.8,61.0,40.0,0.85,CN,1594778817.0
assiniboia,49.63,-105.98,64.81,52.0,80.0,11.34,CA,1594778817.0
rosetta,31.4,30.42,77.0,73.0,40.0,9.17,EG,1594778817.0
fereydunshahr,32.94,50.12,49.73,47.0,0.0,1.05,IR,1594778817.0
chiredzi,-21.05,31.67,54.3,50.0,0.0,6.89,ZW,1594778817.0
tual,-5.67,132.75,78.71,87.0,15.0,21.23,ID,1594778817.0
carupano,10.67,-63.26,77.88,87.0,0.0,6.02,VE,1594778818.0
fare,-16.7,-151.02,79.83,75.0,0.0,5.46,PF,1594778818.0
neiafu,-18.65,-173.98,78.8,61.0,40.0,12.75,TO,1594778818.0
norwich,52.63,1.3,54.0,81.0,1.0,4.7,GB,1594778818.0
camabatela,-8.19,15.38,56.44,98.0,65.0,3.09,AO,1594778818.0
bambous virieux,-20.34,57.76,71.6,83.0,40.0,12.75,MU,1594778388.0
yelizovo,53.19,158.38,64.4,68.0,65.0,13.42,RU,1594778818.0
sibu,2.3,111.82,78.8,88.0,20.0,8.05,MY,1594778818.0
alugan,12.22,125.48,86.07,67.0,22.0,8.63,PH,1594778819.0
aromashevo,56.86,68.64,69.73,75.0,2.0,7.0,RU,1594778819.0
samfya,-11.36,29.56,54.77,59.0,0.0,7.65,ZM,1594778819.0
sioux lookout,50.1,-91.92,71.6,46.0,40.0,9.17,CA,1594778449.0
vestmannaeyjar,63.44,-20.27,52.79,91.0,99.0,6.96,IS,1594778359.0
podgorenskiy,50.41,39.64,59.7,84.0,100.0,16.53,RU,1594778819.0
pirovskoye,57.63,92.27,58.62,66.0,65.0,11.18,RU,1594778819.0
san quintin,30.48,-115.95,70.12,74.0,0.0,13.89,MX,1594778655.0
qazvin,36.28,50.0,62.6,88.0,75.0,4.7,IR,1594778820.0
bara,10.37,10.73,72.16,92.0,99.0,10.83,NG,1594778820.0
moa,20.66,-74.94,80.58,85.0,4.0,8.3,CU,1594778820.0
half moon bay,37.46,-122.43,73.0,56.0,20.0,4.7,US,1594778438.0
havoysund,71.0,24.66,46.4,87.0,59.0,8.05,NO,1594778820.0
norsup,-16.07,167.38,82.4,69.0,40.0,6.93,VU,1594778820.0
lekoni,-1.58,14.26,70.59,85.0,83.0,7.23,GA,1594778820.0
torbay,47.67,-52.73,52.0,93.0,90.0,13.87,CA,1594778423.0
marsa matruh,31.35,27.25,73.4,78.0,0.0,5.82,EG,1594778821.0
ewa beach,21.32,-158.01,87.8,48.0,75.0,9.17,US,1594778744.0
san miguel,13.48,-88.18,75.63,90.0,58.0,2.33,SV,1594778821.0
usinsk,65.99,57.53,57.24,86.0,71.0,6.13,RU,1594778821.0
redlands,34.06,-117.18,91.4,24.0,5.0,13.87,US,1594778821.0
safaga,26.73,33.94,80.6,28.0,0.0,5.82,EG,1594778821.0
muncar,-8.43,114.33,79.65,83.0,42.0,9.04,ID,1594778821.0
porangatu,-13.44,-49.15,68.11,31.0,0.0,2.91,BR,1594778374.0
anadyr,64.75,177.48,53.6,87.0,75.0,13.42,RU,1594778822.0
paihia,-35.28,174.09,59.0,3.0,100.0,7.0,NZ,1594778822.0
te anau,-45.42,167.72,45.39,71.0,18.0,0.22,NZ,1594778446.0
iquitos,-3.75,-73.25,73.15,96.0,100.0,1.83,PE,1594778710.0
praya,14.92,-23.51,78.8,83.0,40.0,11.41,CV,1594778642.0
isagarh,24.83,77.88,86.7,62.0,36.0,3.0,IN,1594778822.0
kirakira,-10.45,161.92,82.35,79.0,93.0,10.36,SB,1594778822.0
los llanos de aridane,28.66,-17.92,71.6,78.0,1.0,18.34,ES,1594778375.0
aguimes,27.91,-15.45,71.6,73.0,20.0,32.21,ES,1594778823.0
khandbari,27.37,87.2,79.09,65.0,70.0,1.01,NP,1594778412.0
ankang,32.68,109.02,71.2,87.0,100.0,1.05,CN,1594778823.0
santa cruz,-17.8,-63.17,64.4,88.0,20.0,4.7,BO,1594778712.0
solnechnyy,50.72,136.63,79.16,56.0,21.0,5.66,RU,1594778823.0
businga,3.33,20.88,68.95,95.0,90.0,1.14,CD,1594778824.0
alofi,-19.06,-169.92,78.8,57.0,40.0,16.11,NU,1594778407.0
nelson bay,-32.72,152.15,61.0,63.0,40.0,21.92,AU,1594778824.0
petropavlovsk-kamchatskiy,53.05,158.65,64.4,68.0,87.0,13.42,RU,1594778824.0
umm kaddadah,13.6,26.69,84.24,54.0,27.0,16.71,SD,1594778448.0
mitsamiouli,-11.38,43.28,76.26,68.0,2.0,9.51,KM,1594778824.0
kasongo-lunda,-6.47,16.82,68.88,61.0,99.0,1.54,CD,1594778824.0
viedma,-40.81,-63.0,37.09,78.0,79.0,4.09,AR,1594778399.0
santa rosa,14.31,121.11,93.99,63.0,16.0,1.99,PH,1594778824.0
xining,36.62,101.77,69.06,54.0,30.0,2.62,CN,1594778416.0
yumen,40.28,97.2,76.98,20.0,75.0,13.6,CN,1594778825.0
brunswick,41.24,-81.84,75.2,50.0,75.0,8.05,US,1594778553.0
beira,-19.84,34.84,60.44,87.0,0.0,2.46,MZ,1594778825.0
erenhot,43.65,111.98,84.58,29.0,82.0,6.31,CN,1594778825.0
pedernales,18.04,-71.74,81.48,77.0,1.0,2.46,DO,1594778825.0
kingman,35.19,-114.05,102.0,11.0,1.0,18.34,US,1594778825.0
kieta,-6.22,155.63,85.26,64.0,100.0,3.15,PG,1594778350.0
awjilah,29.11,21.29,76.21,52.0,0.0,9.24,LY,1594778826.0
nador,35.17,-2.93,75.2,83.0,75.0,8.05,MA,1594778374.0
holovyne,50.47,28.83,50.92,96.0,1.0,8.59,UA,1594778826.0
bandarbeyla,9.49,50.81,81.19,60.0,100.0,23.2,SO,1594778447.0
pangkalanbuun,-2.68,111.62,84.18,70.0,27.0,2.1,ID,1594778826.0
san francisco,37.77,-122.42,66.2,68.0,20.0,13.87,US,1594778751.0
santiago del estero,-27.8,-64.26,53.15,47.0,0.0,9.22,AR,1594778109.0
maltahohe,-24.83,16.98,33.21,87.0,0.0,12.44,NA,1594778826.0
san bartolome de tirajana,27.92,-15.57,71.6,73.0,20.0,32.21,ES,1594778826.0
aljezur,37.32,-8.8,72.0,62.0,0.0,8.12,PT,1594778826.0
dakar,14.69,-17.44,80.6,78.0,40.0,11.41,SN,1594778826.0
urubicha,-15.38,-62.95,69.26,83.0,22.0,4.38,BO,1594778827.0
golden,39.76,-105.22,71.6,60.0,75.0,10.29,US,1594778827.0
eyl,7.98,49.82,81.21,60.0,100.0,25.21,SO,1594778827.0
michigan city,41.71,-86.89,78.01,88.0,1.0,9.82,US,1594778827.0
rosarito,32.33,-117.03,73.0,72.0,5.0,11.41,MX,1594778824.0
saint-ambroise,48.55,-71.33,64.4,63.0,5.0,9.17,CA,1594778827.0
volary,48.91,13.89,54.0,80.0,76.0,5.01,CZ,1594778827.0
caramay,10.18,119.24,85.93,63.0,61.0,3.31,PH,1594778827.0
kuusamo,65.97,29.18,48.2,93.0,40.0,1.12,FI,1594778390.0
iqaluit,63.75,-68.51,55.4,66.0,20.0,1.32,CA,1594778420.0
vao,-22.67,167.48,72.28,79.0,99.0,15.46,NC,1594778403.0
bulawayo,-20.15,28.58,46.2,47.0,0.0,13.38,ZW,1594778828.0
shirokovskiy,58.84,57.78,70.0,72.0,34.0,1.01,RU,1594778828.0
hibbing,47.43,-92.94,68.0,60.0,1.0,4.7,US,1594778828.0
yulara,-25.24,130.99,55.4,35.0,0.0,5.82,AU,1594778424.0
arcos,-20.28,-45.54,70.25,54.0,94.0,4.7,BR,1594778828.0
talnakh,69.49,88.4,50.0,93.0,90.0,11.18,RU,1594778393.0
ambilobe,-13.2,49.05,64.62,89.0,5.0,2.71,MG,1594778828.0
touros,-5.2,-35.46,75.2,88.0,20.0,4.7,BR,1594778121.0
celestun,20.87,-90.4,83.62,72.0,0.0,16.4,MX,1594778829.0
uni,57.75,51.49,72.73,91.0,65.0,9.71,RU,1594778829.0
cockburn town,21.46,-71.14,82.04,85.0,0.0,17.76,TC,1594778297.0
gubkinskiy,64.43,76.5,57.67,75.0,100.0,15.39,RU,1594778829.0
kavaratti,10.57,72.64,83.01,75.0,100.0,11.25,IN,1594778384.0
sabang,5.89,95.32,82.76,75.0,100.0,3.27,ID,1594778829.0
finote selam,10.7,37.27,57.63,92.0,70.0,2.37,ET,1594778829.0
klaksvik,62.23,-6.59,50.0,93.0,89.0,3.36,FO,1594778397.0
kosh-agach,50.0,88.67,56.39,68.0,65.0,5.41,RU,1594778829.0
leshukonskoye,64.9,45.76,53.2,93.0,100.0,7.54,RU,1594778442.0
tamandare,-8.76,-35.1,74.44,83.0,7.0,6.29,BR,1594778830.0
maldonado,-34.67,-54.92,41.0,74.0,0.0,4.7,UY,1594778606.0
matara,5.95,80.54,81.34,85.0,75.0,9.57,LK,1594778432.0
chongwe,-15.33,28.68,51.8,62.0,0.0,1.12,ZM,1594778830.0
glencoe,-28.18,30.15,32.52,84.0,0.0,0.27,ZA,1594778830.0
baruun-urt,46.68,113.28,80.29,44.0,87.0,8.7,MN,1594778830.0
yerbogachen,61.28,108.01,70.03,68.0,100.0,5.44,RU,1594778400.0
hamilton,39.18,-84.53,80.01,54.0,40.0,4.94,US,1594778401.0
laguna,38.42,-121.42,87.8,31.0,1.0,12.75,US,1594778412.0
trinidad,-14.83,-64.9,71.08,80.0,0.0,5.99,BO,1594778831.0
coihaique,-45.58,-72.07,30.2,92.0,82.0,2.24,CL,1594778383.0
bo phloi,14.32,99.52,85.12,63.0,72.0,5.95,TH,1594778400.0
bhatkal,13.97,74.57,75.99,86.0,100.0,0.45,IN,1594778831.0
touba,8.28,-7.68,68.34,91.0,76.0,8.16,CI,1594778831.0
paita,-5.09,-81.11,63.48,85.0,89.0,11.56,PE,1594778831.0
kjollefjord,70.95,27.35,46.56,76.0,97.0,2.46,NO,1594778831.0
husavik,66.04,-17.34,50.0,93.0,90.0,5.82,IS,1594778414.0
palamos,41.85,3.13,66.0,51.0,27.0,2.59,ES,1594778831.0
tripoli,32.88,13.19,77.52,64.0,0.0,6.58,LY,1594778832.0
karoi,-16.81,29.69,51.28,43.0,0.0,5.5,ZW,1594778832.0
